('35', '128', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '21', '2033-10-13 13:06:21', NULL),
('7', '110', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2032-04-26 22:44:53', NULL),
('44', '122', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2033-04-27 00:56:37', NULL),
('30', '108', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2032-02-26 15:25:16', NULL),
('23', '68', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2028-10-14 02:07:41', NULL),
('15', '51', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2027-05-16 10:03:24', NULL),
('39', '16', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2026-03-25 04:07:08', NULL),
('30', '43', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2026-09-05 18:55:49', NULL),
('49', '136', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '28', '2034-06-11 18:24:49', NULL),
('30', '141', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2034-11-21 18:06:29', NULL),
('43', '91', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2030-09-06 18:49:46', NULL),
('25', '37', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '15', '2026-03-21 21:53:06', NULL),
('4', '40', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2026-06-11 09:43:56', NULL),
('46', '78', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2029-08-16 12:06:49', NULL),
('26', '3', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '28', '2025-02-09 01:45:57', NULL),
('50', '36', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-02-28 19:33:37', NULL),
('29', '2', 'La qualità del video potrebbe essere migliorata. Era sfocato in alcuni punti.', '0', '2025-05-26 00:22:02', NULL),
('17', '103', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2031-09-06 21:01:30', NULL),
('39', '127', 'La qualità del video potrebbe essere migliorata. Era sfocato in alcuni punti.', '0', '2033-09-06 01:24:58', NULL),
('44', '136', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '2', '2034-06-11 18:24:49', NULL),
('16', '62', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2028-04-25 22:50:56', NULL),
('40', '130', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2033-12-16 02:40:00', NULL),
('36', '76', 'Non mi è piaciuto il tono usato nel video. Sembra mancare di entusiasmo.', '0', '2029-06-10 16:19:08', NULL),
('30', '135', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2034-05-16 16:32:33', NULL),
('27', '52', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '31', '2027-06-11 11:55:40', NULL),
('1', '89', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2030-07-21 12:26:17', NULL),
('33', '73', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2029-03-21 04:28:18', NULL),
('48', '130', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2033-12-16 02:40:00', NULL),
('36', '119', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2033-01-11 02:20:32', NULL),
('37', '97', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2031-03-21 08:51:46', NULL),
('15', '7', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2024-03-26 14:50:41', NULL),
('45', '74', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2029-04-26 01:02:40', NULL),
('46', '17', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '7', '2026-10-08 09:16:09', NULL),
('33', '96', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2031-02-26 13:13:32', NULL),
('50', '119', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2033-01-11 02:20:32', NULL),
('40', '66', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2028-08-16 09:55:05', NULL),
('17', '39', 'La qualità del video potrebbe essere migliorata. Era sfocato in alcuni punti.', '0', '2026-05-16 07:51:40', NULL),
('15', '107', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2032-01-12 00:08:48', NULL),
('42', '6', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '6', '2026-06-16 07:04:59', NULL),
('36', '101', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2031-07-21 14:38:01', NULL),
('44', '14', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '4', '2026-08-10 17:03:33', NULL),
('8', '115', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-09-05 23:13:14', NULL),
('13', '136', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '19', '2034-06-11 18:24:49', NULL),
('39', '42', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2026-08-17 05:31:37', NULL),
('7', '23', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2025-01-10 17:39:39', NULL),
('25', '146', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2035-04-27 05:20:05', NULL),
('47', '120', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '34', '2033-02-25 17:37:00', NULL),
('12', '138', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2034-08-15 23:05:29', NULL),
('25', '96', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2031-02-26 13:13:32', NULL),
('31', '115', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2032-09-05 23:13:14', NULL),
('9', '88', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2030-06-10 18:30:52', NULL),
('41', '96', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2031-02-26 13:13:32', NULL),
('16', '131', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2034-01-11 04:32:16', NULL),
('36', '8', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2025-12-09 05:31:03', NULL),
('15', '144', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2035-02-25 22:00:28', NULL),
('25', '148', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2035-06-11 20:36:33', NULL),
('12', '14', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '4', '2024-04-26 14:04:00', NULL),
('23', '15', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2024-11-21 05:02:08', NULL),
('5', '122', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2033-04-27 00:56:37', NULL),
('4', '22', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2024-12-15 15:47:23', NULL),
('50', '44', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-02-28 19:33:37', NULL),
('10', '85', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2030-03-21 06:40:02', NULL),
('13', '128', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2033-10-13 13:06:21', NULL),
('45', '142', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '15', '2034-12-16 04:51:44', NULL),
('29', '28', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '19', '2025-06-11 07:32:12', NULL),
('7', '2', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2023-07-08 05:01:00', NULL),
('13', '80', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '34', '2029-10-14 04:19:25', NULL),
('39', '136', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2034-06-11 18:24:49', NULL),
('10', '38', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2026-04-26 18:27:28', NULL),
('22', '140', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '3', '2034-10-13 15:18:05', NULL),
('47', '34', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2026-11-13 05:50:31', NULL),
('45', '34', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2026-09-15 13:37:55', NULL),
('33', '36', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2026-02-27 02:14:52', NULL),
('3', '11', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2024-01-11 15:27:55', NULL),
('25', '94', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '17', '2030-12-16 20:04:48', NULL),
('16', '142', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2034-12-16 04:51:44', NULL),
('46', '72', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2029-02-26 08:50:04', NULL),
('43', '41', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2026-07-22 03:39:21', NULL),
('43', '21', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-07-20 12:32:20', NULL),
('22', '115', 'Ho trovato il video molto noioso e poco interessante. Non è riuscito a catturare la mia attenzione.', '0', '2032-09-05 23:13:14', NULL),
('19', '61', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2028-03-21 02:16:34', NULL),
('36', '60', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '37', '2028-02-25 15:31:19', NULL),
('35', '76', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '30', '2029-06-10 16:19:08', NULL),
('6', '48', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '12', '2027-02-25 13:19:35', NULL),
('45', '124', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '4', '2033-06-11 16:13:05', NULL),
('26', '136', 'La qualità del suono potrebbe essere migliorata. Era difficile sentire chiaramente.', '0', '2034-06-11 18:24:49', NULL),
('38', '3', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2026-02-20 13:46:48', NULL),
('23', '59', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2028-01-11 00:14:51', NULL),
('30', '120', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '4', '2033-02-25 17:37:00', NULL),
('17', '15', 'Ho trovato il video molto noioso e poco interessante. Non è riuscito a catturare la mia attenzione.', '0', '2024-05-16 03:28:12', NULL),
('5', '106', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '29', '2031-12-16 22:16:32', NULL),
('39', '2', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-03-25 04:07:08', NULL),
('46', '118', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-12-16 00:28:16', NULL),
('25', '111', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2032-05-16 12:09:05', NULL),
('10', '68', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2028-10-14 02:07:41', NULL),
('10', '13', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2024-03-21 17:29:38', NULL),
('4', '11', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2024-01-11 15:27:55', NULL),
('1', '96', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2031-02-26 13:13:32', NULL),
('9', '28', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2025-06-11 07:32:12', NULL),
('36', '10', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2025-12-09 05:31:03', NULL),
('19', '15', 'Ho trovato il video molto noioso e poco interessante. Non è riuscito a catturare la mia attenzione.', '0', '2024-07-25 05:29:55', NULL),
('43', '36', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-07-20 12:32:20', NULL),
('13', '4', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2024-01-10 00:20:54', NULL),
('2', '79', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2029-09-06 16:38:02', NULL),
('40', '148', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2035-06-11 20:36:33', NULL),
('25', '55', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2027-09-05 21:07:33', NULL),
('47', '103', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2031-09-06 21:01:30', NULL),
('30', '47', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-01-10 22:03:07', NULL),
('24', '104', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2031-10-14 08:42:53', NULL),
('46', '139', 'La qualità del suono potrebbe essere migliorata. Era difficile sentire chiaramente.', '0', '2034-09-06 03:36:42', NULL),
('40', '76', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2029-06-10 16:19:08', NULL),
('6', '14', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '22', '2024-04-26 14:04:00', NULL),
('5', '70', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2028-12-16 15:41:20', NULL),
('1', '93', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2030-11-22 09:19:33', NULL),
('3', '72', 'Mi dispiace dirlo, ma il contenuto del video era confuso e mal strutturato.', '0', '2029-02-26 08:50:04', NULL),
('24', '127', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2033-09-06 01:24:58', NULL),
('39', '91', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '36', '2030-09-06 18:49:46', NULL),
('37', '77', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '31', '2029-07-21 10:14:33', NULL),
('35', '9', 'Non mi è piaciuto il tono usato nel video. Sembra mancare di entusiasmo.', '0', '2025-11-16 09:52:49', NULL),
('7', '78', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2029-08-16 12:06:49', NULL),
('41', '10', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '24', '2026-05-03 06:55:32', NULL),
('12', '116', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2032-10-13 10:54:37', NULL),
('30', '90', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2030-08-16 14:18:33', NULL),
('16', '88', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2030-06-10 18:30:52', NULL),
('1', '88', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2030-06-10 18:30:52', NULL),
('29', '57', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '14', '2027-11-21 11:37:20', NULL),
('32', '103', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2031-09-06 21:01:30', NULL),
('2', '103', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2031-09-06 21:01:30', NULL),
('46', '34', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2026-10-08 09:16:09', NULL),
('50', '60', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2028-02-25 15:31:19', NULL),
('29', '120', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '5', '2033-02-25 17:37:00', NULL),
('38', '126', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2033-08-17 12:00:46', NULL),
('38', '133', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2034-03-22 06:33:59', NULL),
('46', '10', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '15', '2026-10-08 09:16:09', NULL),
('20', '81', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2029-11-22 07:07:49', NULL),
('5', '87', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2030-05-15 16:38:36', NULL),
('6', '127', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2033-09-06 01:24:58', NULL),
('19', '108', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2032-02-26 15:25:16', NULL),
('9', '65', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2028-07-21 08:02:49', NULL),
('14', '133', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '27', '2034-03-22 06:33:59', NULL),
('36', '96', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '31', '2031-02-26 13:13:32', NULL),
('32', '102', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '13', '2031-08-16 16:30:17', NULL),
('15', '90', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2030-08-16 14:18:33', NULL),
('3', '27', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '2', '2025-05-16 05:39:56', NULL),
('47', '74', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '31', '2029-04-26 01:02:40', NULL),
('30', '118', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2032-12-16 00:28:16', NULL),
('6', '102', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '24', '2031-08-16 16:30:17', NULL),
('35', '54', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2027-08-17 07:43:21', NULL),
('12', '73', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2029-03-21 04:28:18', NULL),
('31', '124', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2033-06-11 16:13:05', NULL),
('11', '85', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2030-03-21 06:40:02', NULL),
('14', '8', 'Mi dispiace dirlo, ma il contenuto del video era confuso e mal strutturato.', '0', '2024-02-21 09:23:20', NULL),
('38', '137', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '37', '2034-07-20 21:13:13', NULL),
('45', '76', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2029-06-10 16:19:08', NULL),
('50', '136', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '17', '2034-06-11 18:24:49', NULL),
('10', '27', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '2', '2025-05-16 05:39:56', NULL),
('42', '5', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-06-16 07:04:59', NULL),
('42', '21', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2026-06-16 07:04:59', NULL),
('2', '44', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-10-13 06:37:12', NULL),
('7', '72', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2029-02-26 08:50:04', NULL),
('17', '116', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2032-10-13 10:54:37', NULL),
('43', '117', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2032-11-21 13:43:01', NULL),
('31', '24', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '39', '2025-07-02 12:03:25', NULL),
('42', '103', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2031-09-06 21:01:30', NULL),
('36', '46', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2026-12-15 20:10:51', NULL),
('10', '95', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2031-01-11 21:57:04', NULL),
('30', '22', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '23', '2025-06-30 20:56:24', NULL),
('42', '57', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2027-11-21 11:37:20', NULL),
('2', '138', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '22', '2034-08-15 23:05:29', NULL),
('21', '70', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2028-12-16 15:41:20', NULL),
('28', '115', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2032-09-05 23:13:14', NULL),
('18', '19', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2024-09-05 14:32:21', NULL),
('35', '93', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2030-11-22 09:19:33', NULL),
('35', '85', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2030-03-21 06:40:02', NULL),
('34', '53', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '11', '2027-07-22 05:51:05', NULL),
('29', '99', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2031-05-15 18:50:20', NULL),
('41', '72', 'La qualità del suono potrebbe essere migliorata. Era difficile sentire chiaramente.', '0', '2029-02-26 08:50:04', NULL),
('14', '81', 'Ho trovato il video molto noioso e poco interessante. Non è riuscito a catturare la mia attenzione.', '0', '2029-11-22 07:07:49', NULL),
('12', '144', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2035-02-25 22:00:28', NULL),
('27', '102', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2031-08-16 16:30:17', NULL),
('33', '78', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '20', '2029-08-16 12:06:49', NULL),
('16', '31', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2025-09-05 16:44:05', NULL),
('45', '70', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2028-12-16 15:41:20', NULL),
('3', '44', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2026-10-13 06:37:12', NULL),
('44', '40', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2026-08-10 17:03:33', NULL),
('35', '142', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2034-12-16 04:51:44', NULL),
('17', '23', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2025-01-10 17:39:39', NULL),
('49', '45', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2027-01-25 14:06:16', NULL),
('9', '91', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '35', '2030-09-06 18:49:46', NULL),
('19', '65', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2028-07-21 08:02:49', NULL),
('26', '135', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2034-05-16 16:32:33', NULL),
('2', '27', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2025-05-16 05:39:56', NULL),
('2', '146', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2035-04-27 05:20:05', NULL),
('2', '99', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2031-05-15 18:50:20', NULL),
('29', '121', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2033-03-22 04:22:15', NULL),
('43', '145', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2035-03-20 17:38:42', NULL),
